"id";"name";"company_id";"create_date";"display_name";"date";"title";"parent_id";"ref";"lang";"tz";"user_id";"vat";"website";"comment";"credit_limit";"active";"employee";"function";"type";"street";"street2";"zip";"city";"state_id";"country_id";"partner_latitude";"partner_longitude";"email";"phone";"mobile";"is_company";"industry_id";"color";"partner_share";"commercial_partner_id";"commercial_company_name";"company_name";"create_uid";"write_uid";"write_date";"message_main_attachment_id";"email_normalized";"message_bounce";"signup_token";"signup_type";"signup_expiration";"team_id";"partner_gid";"additional_info";"phone_sanitized";"debit_limit";"last_time_entries_checked";"invoice_warn";"invoice_warn_msg";"supplier_rank";"customer_rank";"sale_warn";"sale_warn_msg";"picking_warn";"picking_warn_msg"
"4";"Public user";"";"30-05-2022";"Public user";"";"";"";"";"en_US";"";"";"";"";"";"";"false";"";"";"contact";"";"";"";"";"";"";"";"";"";"";"";"false";"";"0";"true";"4";"";"";"1";"1";"30-05-2022";"";"";"0";"";"";"";"";"";"";"";"";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"6";"Portal User Template";"";"30-05-2022";"Portal User Template";"";"";"";"";"en_US";"";"";"";"";"";"";"false";"";"";"contact";"";"";"";"";"";"";"";"";"";"";"";"false";"";"0";"true";"6";"";"";"1";"1";"30-05-2022";"";"";"0";"";"";"";"";"";"";"";"";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"10";"Deco Addict";"";"30-05-2022";"Deco Addict";"";"";"";"";"en_US";"";"";"";"http://www.deco-addict.com";"";"";"true";"";"";"contact";"77 Santa Barbara Rd";"";"94523";"Pleasant Hill";"13";"233";"";"";"deco.addict82@example.com";"(603)-996-3829";"";"true";"";"0";"true";"10";"Deco Addict";"";"1";"1";"30-05-2022";"";"deco.addict82@example.com";"0";"";"";"";"";"";"";"(603)-996-3829";"";"";"no-message";"";"0";"3";"no-message";"";"no-message";""
"1";"YourCompany";"";"30-05-2022";"YourCompany";"";"";"";"";"en_US";"";"";"";"http://www.example.com";"";"";"true";"";"";"contact";"250 Executive Park Blvd, Suite 3400";"";"94134";"San Francisco";"13";"233";"";"";"jessmzp@gmail.com";"60787999";"";"true";"";"0";"true";"1";"YourCompany";"YourCompany";"";"1";"30-05-2022";"";"jessmzp@gmail.com";"0";"";"";"";"";"";"";"60787999";"";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"5";"Default User Template";"";"30-05-2022";"Default User Template";"";"";"";"";"en_US";"";"";"";"";"";"";"false";"";"";"contact";"";"";"";"";"";"";"";"";"";"";"";"false";"";"0";"true";"5";"";"";"1";"1";"30-05-2022";"";"";"0";"";"";"";"";"";"";"";"";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"14";"Azure Interior";"";"30-05-2022";"Azure Interior";"";"";"";"";"en_US";"";"";"";"http://www.azure-interior.com";"";"";"true";"";"";"contact";"4557 De Silva St";"";"94538";"Fremont";"13";"233";"";"";"azure.Interior24@example.com";"(870)-931-0505";"";"true";"";"0";"true";"14";"Azure Interior";"";"1";"1";"30-05-2022";"";"azure.interior24@example.com";"0";"";"";"";"";"";"";"(870)-931-0505";"";"";"no-message";"";"2";"1";"no-message";"";"no-message";""
"19";"Floyd Steward";"";"30-05-2022";"Deco Addict, Floyd Steward";"";"";"10";"";"en_US";"";"";"";"";"";"0.0";"true";"";"Analyst";"contact";"77 Santa Barbara Rd";"";"94523";"Pleasant Hill";"13";"233";"";"";"floyd.steward34@example.com";"(145)-138-3401";"";"false";"";"0";"true";"10";"Deco Addict";"";"1";"1";"30-05-2022";"";"floyd.steward34@example.com";"0";"";"";"";"";"";"";"(145)-138-3401";"0";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"33";"Colleen Diaz";"";"30-05-2022";"Azure Interior, Colleen Diaz";"";"";"14";"";"en_US";"";"";"";"";"";"0.0";"true";"";"Business Executive";"contact";"4557 De Silva St";"";"94538";"Fremont";"13";"233";"";"";"colleen.diaz83@example.com";"(255)-595-8393";"";"false";"";"0";"true";"14";"Azure Interior";"";"1";"1";"30-05-2022";"";"colleen.diaz83@example.com";"0";"";"";"";"";"";"";"(255)-595-8393";"0";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"26";"Brandon Freeman";"";"30-05-2022";"Azure Interior, Brandon Freeman";"";"";"14";"";"en_US";"";"";"";"";"";"0.0";"true";"";"Creative Director";"contact";"4557 De Silva St";"";"94538";"Fremont";"13";"233";"";"";"brandon.freeman55@example.com";"(355)-687-3262";"";"false";"";"0";"true";"14";"Azure Interior";"";"1";"1";"30-05-2022";"";"brandon.freeman55@example.com";"0";"";"";"";"";"";"";"(355)-687-3262";"0";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
"27";"Nicole Ford";"";"30-05-2022";"Azure Interior, Nicole Ford";"";"";"14";"";"en_US";"";"";"";"";"";"0.0";"true";"";"Director";"contact";"4557 De Silva St";"";"94538";"Fremont";"13";"233";"";"";"nicole.ford75@example.com";"(946)-638-6034";"";"false";"";"0";"true";"14";"Azure Interior";"";"1";"1";"30-05-2022";"";"nicole.ford75@example.com";"0";"";"";"";"";"";"";"(946)-638-6034";"0";"";"no-message";"";"0";"0";"no-message";"";"no-message";""
